Name,Barcode
 Strawberry Acai Starbucks Refreshers™ Beverage, 011051826&011051827&011051828&011051829
Add Blonde Espresso Shot, 011051986
Sub Blonde Espresso Shot, 011051994
Clover® Seasonal Core , 011052012&011052013&011052014&011052017
Iced Clover® Seasonal Core , 011052015&011052016&011052018
No Toffee Nut Syrup, 011052309
No Raspberry Syrup, 011052312
No Sugar Free Cinnamon Dolce Syrup, 011052315
No Mocha Sauce, 011052321
No White Chocolate Mocha Sauce, 011052322
No Caramel Sauce, 011052323
No Gingerbread Syrup Modifier, 011052324
No Pumpkin Sauce, 011052325
No Frappuccino® Chips, 011052327
No Vanilla Bean Powder, 011052328
Vanilla Bean Powder extra, 011052393
Vanilla Bean Powder light, 011052394
Vanilla Bean Powder sub, 011052395
Sub Cinnamon Powder, 011052402
Sub Nutmeg Powder, 011052403
Extra Chocolate Powder, 011052404
Light Chocolate Powder, 011052405
Sub Chocolate Powder, 011052406
Mini Espresso Frappuccino® Blended Coffee, 011052447
Sub Vanilla Powder, 011052594
Light Salt Topping, 011052600
Sub Salt Sprinkles Topping, 011052601
Frappuccino® Chips extra, 011052606
Frappuccino® Chips light, 011052607
Mocha Drizzle sub, 011052610
Extra Dry, 011052611
Light Dry Foam, 011052612
Add Strawberries, 011052978
Light Strawberries, 011052980
Extra Strawberries, 011052981
Substitute Strawberries, 011052982
Regular Strawberry Acai Starbucks Refreshers®, 011053255
Sub Strawberry Acai Starbucks Refreshers®, 011053257
Extra Strawberry Acai Starbucks Refreshers®, 011053291
Light Strawberry Acai Starbucks Refreshers®, 011053293
 Starbucks Reserve® Nitro Cold Brew, 011053969&011067311&011067312
No Strawberries, 011054841
Starbucks Reserve® Christmas 2020 Clover® , 011055288&011055289&011055292&011055294&011069449
Iced Starbucks Reserve® Christmas 2020 Clover® , 011055290&011055291
 Starbucks Reserve® Iced Latte, 011056418&011056419&011056421
 Starbucks Reserve® Latte, 011056420&011056422&011056424&011056425
 Smoked Butterscotch Latte, 011056802
 Smoked Butterscotch Frappuccino® Blended Beverage, 011056851&011056852&011056853
 Smoked Butterscotch Frappuccino® Blended Crème, 011056857&011056858
Add Smoked Butterscotch Sauce, 011057192
Regular Smokey Butterscotch Sugar Topping, 011057224
Extra Smokey Butterscotch Sugar Topping, 011057226
Sub Chocolate Curls Topping, 011058997
Extra Chocolate Curls Topping, 011058998
Light Chocolate Curls Topping, 011058999
No Chocolate Curls Topping, 011059002
Iced Matcha Green Tea , 011059034
 Teavana® Shaken Iced White Tea Lemonade, 011059878&011059879&011059880&011059881
 Teavana® Shaken Iced White Tea, 011059882&011059883&011059886&011059888
Clover® Starbucks Reserve® Rwanda Abakundakawa , 011060209&011060210&011060213&011060215
 Iced Starbucks Reserve® Rwanda Abakundakawa, 011060211&011060214
Iced Clover® Starbucks Reserve® Rwanda Abakundakawa , 011060212
 Iced Rwanda Hingakawa Clover®, 011063994&011063995&011064001
 Rwanda Hingakawa Clover®, 011063998&011063999&011064002&011064003
Nitro Cold Brew  , 011064074&011064075
 Vanilla Sweet Cream Cold Brew, 011064127&011064128&011064129&011064457
No Strawberry Acai Starbucks Refreshers®, 011064241
No Splash of Sweet Cream, 011064452
Splash of Sweet Cream, 011064453
Sub Sweet Cream Milk, 011064454
Light Splash of Sweet Cream, 011064455
Extra Splash of Sweet Cream, 011064456
Add Affagato, 011064538
Strawberry Purée, 011064550&011091056
Regular Lemonade, 011067204
No Lemonade, 011067205
Extra Lemonade, 011067206
Light Lemonade, 011067207
Sub Lemonade, 011067208
 Starbucks Reserve® Dark Chocolate Mocha, 011067438&011067439&011067443
 Starbucks Reserve® Iced Dark Chocolate Mocha, 011067440&011067441&011067444
 Ethiopia Yirgacheffe Chelelektu Clover®, 011067591&011067593&011067594&011067598
 Iced Ethiopia Yirgacheffe Chelelektu Clover®, 011067597&011067601&011067603
Extra Reserve Mocha Powder, 011067693
